Scheme Name,Plan,Category Name,Crisil Rating,Turnover ratio,% Equity Holding,No of stocks in portfolio,% Debt Holding,No of debt holdings,% MF Holding,% Cash Holding,% Other Holding
Aditya Birla Sun Life Regular Savings Fund- Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,128%,21%,44,74%,96,-,4%,2%
Aditya Birla Sun Life Regular Savings Fund- Regular Plan - Growth,Regular,Conservative Hybrid Fund,3,128%,21%,44,74%,96,-,4%,2%
Axis Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,2,-,20%,33,72%,20,-,9%,0%
Axis Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,2,-,20%,33,72%,20,-,9%,0%
Bandhan Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,-,12%,10,72%,14,12%,4%,-
Bandhan Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,3,-,12%,10,72%,14,12%,4%,-
Bank of India Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,1,-,24%,25,66%,14,-,10%,-
Bank of India Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,1,-,24%,25,66%,14,-,10%,-
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,2,188%,24%,47,71%,52,-,5%,-
Baroda BNP Paribas Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,1,188%,24%,47,71%,52,-,5%,-
Canara Robeco Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,-,23%,42,69%,34,-,8%,-
Canara Robeco Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,3,-,23%,42,69%,34,-,8%,-
DSP Regular Savings Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,5,-,19%,31,75%,14,-,6%,1%
DSP Regular Savings Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,5,-,19%,31,75%,14,-,6%,1%
Franklin India Conservative Hybrid Fund  - Direct - Growth,Direct Plan,Conservative Hybrid Fund,2,-,23%,48,68%,13,-,9%,-
Franklin India Conservative Hybrid Fund  - Growth,Regular,Conservative Hybrid Fund,2,-,23%,48,68%,13,-,9%,-
HDFC Hybrid Debt Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,-,20%,37,75%,69,-,4%,1%
HDFC Hybrid Debt Fund - Growth,Regular,Conservative Hybrid Fund,3,-,20%,37,75%,69,-,4%,1%
HSBC Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,4,-,20%,29,78%,11,-,2%,-
HSBC Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,4,-,20%,29,78%,11,-,2%,-
ICICI Prudential Regular Savings Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,21%,22%,61,72%,72,-,5%,1%
Kotak Debt Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,4,-,23%,42,70%,76,-,7%,0%
Kotak Debt Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,3,-,23%,42,70%,76,-,7%,0%
LIC MF Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,-,19%,9,80%,9,-,1%,-
LIC MF Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,3,-,19%,9,80%,9,-,1%,-
Nippon India Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,4,-,13%,48,74%,42,-,8%,4%
Nippon India Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,4,-,13%,48,74%,42,-,8%,4%
Parag Parikh Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,5,-,13%,18,72%,110,1%,4%,10%
Parag Parikh Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,5,-,13%,18,72%,110,1%,4%,10%
SBI Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,1,-,24%,36,72%,58,-,4%,-
SBI Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,2,-,24%,36,72%,58,-,4%,-
Sundaram Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,1,-,21%,20,29%,2,-,49%,-
Sundaram Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,1,-,21%,20,29%,2,-,49%,-
UTI Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,22%,24%,63,73%,30,0%,2%,-
UTI Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,4,22%,24%,63,73%,30,0%,2%,-